,KNN/Kmeans,KNN/SMR,KNN/SVDD,Kmeans/KNN,Kmeans/SMR,Kmeans/SVDD,SMR/KNN,SMR/Kmeans,SMR/SVDD,SVDD/KNN,SVDD/Kmeans,SVDD/SMR
hbase-0.94.0.csv,0.339350181,0.236966825,0.5,0.626666667,0.379146919,0,0.333333333,0.288808664,0.5,0.006666667,0,0.004739336
hbase-0.95.0.csv,0.365234375,0.279279279,0.139984532,0.660777385,0.507507508,0.252900232,0.328621908,0.330078125,0.00154679,0.639575972,0.638671875,0.006006006
hbase-0.95.2.csv,0.332197615,0.229508197,0,0.575221239,0.393442623,0,0.247787611,0.245315162,1,0,0,0.005464481
hive-0.10.0.csv,0.442708333,0.224358974,0.079889807,0.574324324,0.310897436,0.111570248,0.472972973,0.505208333,0.140495868,0.783783784,0.84375,0.653846154
hive-0.12.0.csv,0.506711409,0.137218045,0.064851882,0.798941799,0.208646617,0.101281025,0.386243386,0.372483221,0.147317854,0.857142857,0.848993289,0.691729323
hive-0.9.0.csv,0.412878788,0.22614841,0.072300469,0.694267516,0.45229682,0.103286385,0.407643312,0.484848485,0.005633803,0.49044586,0.416666667,0.021201413
intercafe.csv,0.75,0,0,1,0.2,0,0,0.25,1,0,0,0.4
ivy-1.1.csv,0.5,0.181818182,0,0.653846154,0.227272727,0,0.153846154,0.147058824,1,0,0,0.090909091
ivy-1.4.csv,0.684210526,0.0625,0.076923077,0.928571429,0.041666667,0.051282051,0.214285714,0.105263158,1,0.214285714,0.105263158,0.8125
ivy-2.0.csv,0.547619048,0.185714286,0.041666667,0.676470588,0.285714286,0,0.382352941,0.476190476,0.083333333,0.029411765,0,0.028571429
jedit-3.2.csv,0.301369863,0.185185185,0.095238095,0.448979592,0.240740741,0.095238095,0.204081633,0.178082192,0.238095238,0.040816327,0.02739726,0.092592593
jedit-4.0.csv,0.5,0.327868852,0.115384615,0.649122807,0.327868852,0.115384615,0.350877193,0.27027027,0.153846154,0.052631579,0.040540541,0.06557377
jedit-4.1.csv,0.574074074,0.306451613,0.130434783,0.632653061,0.241935484,0.086956522,0.387755102,0.277777778,0.173913043,0.06122449,0.037037037,0.064516129
jedit-4.2.csv,0.47826087,0.273972603,0.035714286,0.825,0.438356164,0.071428571,0.5,0.463768116,0.071428571,0.025,0.028985507,0.02739726
jedit-4.3.csv,0.727272727,0.051020408,0,0.666666667,0.051020408,0.021276596,0.416666667,0.454545455,0.085106383,0,0.090909091,0.040816327
jruby-1.1.csv,0.584615385,0.157534247,0.057863501,0.730769231,0.219178082,0.074183976,0.442307692,0.492307692,0.132047478,0.75,0.769230769,0.609589041
jruby-1.4.0.csv,0.404494382,0.2,0,0.637168142,0.333333333,0,0.345132743,0.365168539,1,0,0,0.020512821
jruby-1.5.0.csv,0.43697479,0.185840708,0.333333333,0.732394366,0.349557522,0,0.591549296,0.663865546,1,0.014084507,0,0.013274336
jruby-1.7.0.preview1.csv,0.5,0.031055901,0.034297243,0.68,0.02484472,0.052454607,0.133333333,0.078431373,0.216543376,0.68,0.764705882,1
junit-Class1.csv,0,0,0,0,0,0,0,0,0,0,0,0
junit-Class2.csv,0,0,0,0,0,0,0,0,0,0,0,0
junit-Class3.csv,0.625,0.04,0.018867925,0.714285714,0.048,0,0.714285714,0.75,0.452830189,0.142857143,0,0.192
junit-Class4.csv,1,0.030769231,0,0.7,0.007692308,0,0.4,0.142857143,1,0,0,0.407692308
junit-Class5.csv,0.95,0.022900763,0.039215686,0.863636364,0.015267176,0.019607843,0.136363636,0.1,0.568627451,0.090909091,0.05,0.221374046
junit-Class6.csv,0.72972973,0.01369863,0.017241379,0.75,0.020547945,0.017241379,0.055555556,0.081081081,0.534482759,0.027777778,0.027027027,0.212328767
junit-Class7.csv,1,0.046242775,0,0.923076923,0.040462428,0,0.615384615,0.583333333,0,0,0,0
junit-Class8.csv,0,0,0,0,0,0,0,0,0,0,0,0
